Unnamed: 0,datetime,timestamp,yr,mo,day,hr,m,s,surf_dist,depth,gal,gal_filter
358,2025-03-30 21:12:11.066688,2025-03-30 21:12:11.066688,2025.0,3.0,30.0,21.0,12.0,11.0,94.84250000000002,-39.72,0.0,1307.94
359,2025-03-30 21:12:26.069369,2025-03-30 21:12:26.069369,2025.0,3.0,30.0,21.0,12.0,26.0,73.86875,-18.74,0.0,1307.94
360,2025-03-30 21:12:41.066213,2025-03-30 21:12:41.066213,2025.0,3.0,30.0,21.0,12.0,41.0,98.03125,-42.91,0.0,1307.94
361,2025-03-30 21:12:56.066280,2025-03-30 21:12:56.066280,2025.0,3.0,30.0,21.0,12.0,56.0,73.8725,-18.75,0.0,1307.94
362,2025-03-30 21:13:11.066182,2025-03-30 21:13:11.066182,2025.0,3.0,30.0,21.0,13.0,11.0,147.18,-92.06,0.0,1307.94
363,2025-03-30 21:13:26.066297,2025-03-30 21:13:26.066297,2025.0,3.0,30.0,21.0,13.0,26.0,98.15375,-43.03,0.0,1307.94
364,2025-03-30 21:13:41.066261,2025-03-30 21:13:41.066261,2025.0,3.0,30.0,21.0,13.0,41.0,119.34125,-64.22,0.0,1307.94
365,2025-03-30 21:13:56.069887,2025-03-30 21:13:56.069887,2025.0,3.0,30.0,21.0,13.0,56.0,46.0225,9.1,262.93,1307.94
366,2025-03-30 21:14:11.066305,2025-03-30 21:14:11.066305,2025.0,3.0,30.0,21.0,14.0,11.0,144.02499999999998,-88.9,0.0,1307.94
367,2025-03-30 21:14:26.069819,2025-03-30 21:14:26.069819,2025.0,3.0,30.0,21.0,14.0,26.0,49.1675,5.96,149.42,1307.94
368,2025-03-30 21:14:41.066398,2025-03-30 21:14:41.066398,2025.0,3.0,30.0,21.0,14.0,41.0,115.90125,-60.78,0.0,1307.94
369,2025-03-30 21:14:56.066534,2025-03-30 21:14:56.066534,2025.0,3.0,30.0,21.0,14.0,56.0,116.3425,-61.22,0.0,1307.94
370,2025-03-30 21:15:11.066355,2025-03-30 21:15:11.066355,2025.0,3.0,30.0,21.0,15.0,11.0,147.2975,-92.17,0.0,1307.94
371,2025-03-30 21:15:26.066720,2025-03-30 21:15:26.066720,2025.0,3.0,30.0,21.0,15.0,26.0,119.3025,-64.18,0.0,1307.94
372,2025-03-30 21:15:41.066764,2025-03-30 21:15:41.066764,2025.0,3.0,30.0,21.0,15.0,41.0,91.87125,-36.75,0.0,1307.94
373,2025-03-30 21:15:56.067857,2025-03-30 21:15:56.067857,2025.0,3.0,30.0,21.0,15.0,56.0,21.04875,34.08,1253.87,1307.94
374,2025-03-30 21:16:11.066575,2025-03-30 21:16:11.066575,2025.0,3.0,30.0,21.0,16.0,11.0,67.07249999999999,-11.95,0.0,1307.94
375,2025-03-30 21:16:26.066789,2025-03-30 21:16:26.066789,2025.0,3.0,30.0,21.0,16.0,26.0,98.19375,-43.07,0.0,1307.94
376,2025-03-30 21:16:41.066369,2025-03-30 21:16:41.066369,2025.0,3.0,30.0,21.0,16.0,41.0,98.34125,-43.22,0.0,1307.94
377,2025-03-30 21:16:56.066532,2025-03-30 21:16:56.066532,2025.0,3.0,30.0,21.0,16.0,56.0,196.35625,-141.23,0.0,1307.94
378,2025-03-30 21:17:11.066574,2025-03-30 21:17:11.066574,2025.0,3.0,30.0,21.0,17.0,11.0,67.08625,-11.96,0.0,1307.94
379,2025-03-30 21:17:26.070178,2025-03-30 21:17:26.070178,2025.0,3.0,30.0,21.0,17.0,26.0,0.0,55.12,1350.32,1307.94
380,2025-03-30 21:17:41.066529,2025-03-30 21:17:41.066529,2025.0,3.0,30.0,21.0,17.0,41.0,21.0625,34.06,1253.32,1307.94
